Student_ID,Name,Math,Science,English,Attendance,Total,Average,Grade
101,Rahul,85,78,90,92,253,84.33333333333333,B
102,Priya,72,88,79,85,239,79.66666666666667,B
103,Amit,95,91,89,97,275,91.66666666666667,A
104,Neha,60,70,65,75,195,65.0,C
105,Ravi,82,76,80,88,238,79.33333333333333,B
106,Pooja,55,60,58,68,173,57.666666666666664,D
107,Arjun,91,94,96,98,281,93.66666666666667,A
108,Sneha,73,69,75,80,217,72.33333333333333,C
109,Karan,66,72,70,78,208,69.33333333333333,C
110,Anjali,88,84,90,95,262,87.33333333333333,B
